ID,Name_lang,SetFlags,RequiredSkill,RequiredSkillRank,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16]
384,元帅的战甲,1,0,0,16477,16478,16480,16483,16484,16479,0,0,0,0,0,0,0,0,0,0,0
386,督军的震撼,1,0,0,16577,16578,16580,16573,16574,16579,0,0,0,0,0,0,0,0,0,0,0
387,督军的法衣,1,0,0,16536,16533,16535,16539,16540,16534,0,0,0,0,0,0,0,0,0,0,0
388,元帅的法衣,1,0,0,16441,16444,16443,16437,16440,16442,0,0,0,0,0,0,0,0,0,0,0
389,元帅的神服,1,0,0,17604,17603,17605,17608,17607,17602,0,0,0,0,0,0,0,0,0,0,0
390,督军的神服,1,0,0,17623,17625,17622,17624,17618,17620,0,0,0,0,0,0,0,0,0,0,0
391,督军的魔装,1,0,0,17586,17588,17593,17591,17590,17592,0,0,0,0,0,0,0,0,0,0,0
392,元帅的魔装,1,0,0,17581,17580,17583,17584,17579,17578,0,0,0,0,0,0,0,0,0,0,0
393,督军的制服,1,0,0,16563,16561,16562,16564,16560,16558,0,0,0,0,0,0,0,0,0,0,0
394,元帅的制服,1,0,0,16453,16457,16455,16446,16454,16456,0,0,0,0,0,0,0,0,0,0,0
395,元帅的猎装,1,0,0,16466,16465,16468,16462,16463,16467,0,0,0,0,0,0,0,0,0,0,0
396,督军的猎装,1,0,0,16569,16571,16567,16565,16566,16568,0,0,0,0,0,0,0,0,0,0,0
397,元帅的圣装,1,0,0,16452,16451,16449,16459,16448,16450,0,0,0,0,0,0,0,0,0,0,0
398,督军的圣装,1,0,0,16554,16555,16552,16551,16549,16550,0,0,0,0,0,0,0,0,0,0,0
401,少校的庇护,1,0,0,16410,16409,16433,16435,16434,16436,0,0,0,0,0,0,0,0,0,0,0
402,元帅的庇护,1,0,0,16473,16474,16476,16472,16471,16475,0,0,0,0,0,0,0,0,0,0,0
421,血藤,0,197,300,19682,19683,19684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,原始蝙蝠皮套装,0,165,300,19685,19687,19686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,血虎,0,165,300,19688,19689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,血魂的拥抱,0,0,0,19690,19691,19692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,黑暗之魂,0,164,300,19693,19694,19695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,哈卡莱双刃,0,0,0,19865,19866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,赞吉尔的专注,0,0,0,19893,19905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,原始祝福,1,0,0,19896,19910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,督军的决心,0,0,0,19873,19912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,远古祷言,0,0,0,19863,19920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,极效魔精套装,0,0,0,19898,19925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,高地人的决心,0,0,0,20041,20048,20057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,高地人的执著,0,0,0,20042,20049,20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,高地人的果断,0,0,0,20043,20050,20055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,高地人的坚韧,0,0,0,20044,20051,20056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,高地人的毅力,0,0,0,20052,20045,20059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,高地人的意志,0,0,0,20053,20046,20060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,高地人的专注,0,0,0,20054,20047,20061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,辩护者重甲,1,0,0,19951,19577,19824,19823,19822,0,0,0,0,0,0,0,0,0,0,0,0
475,思考者护甲,1,0,0,19952,19588,19827,19826,19825,0,0,0,0,0,0,0,0,0,0,0,0
476,预言者套装,1,0,0,19609,19956,19830,19829,19828,0,0,0,0,0,0,0,0,0,0,0,0
477,捕猎者套装,1,0,0,19621,19953,19833,19832,19831,0,0,0,0,0,0,0,0,0,0,0,0
478,狂妄者套装,1,0,0,19617,19954,19836,19835,19834,0,0,0,0,0,0,0,0,0,0,0,0
479,占卜师套装,1,0,0,19613,19955,19840,19839,19838,0,0,0,0,0,0,0,0,0,0,0,0
480,忏悔者衣饰,1,0,0,19594,19958,19843,19842,19841,0,0,0,0,0,0,0,0,0,0,0,0
481,恶魔师护甲,1,0,0,19605,19957,19848,19849,20033,0,0,0,0,0,0,0,0,0,0,0,0
482,幻术师套装,1,0,0,19601,19959,19846,19845,20034,0,0,0,0,0,0,0,0,0,0,0,0
483,污染者的果断,0,0,0,20158,20154,20150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,污染者的坚韧,0,0,0,20195,20199,20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,污染者的专注,0,0,0,20176,20159,20163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,污染者的毅力,0,0,0,20186,20190,20194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,污染者的决心,0,0,0,20204,20208,20212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,污染者的意志,0,0,0,20167,20171,20175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,黑龙锁甲,0,0,0,16984,15050,15052,15051,0,0,0,0,0,0,0,0,0,0,0,0,0
490,绿龙锁甲,0,0,0,15045,15046,20296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,蓝龙锁甲,0,0,0,15048,20295,15049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,暮光套装,0,0,0,20406,20408,20407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,起源套装,1,0,0,21355,21353,21354,21356,21357,0,0,0,0,0,0,0,0,0,0,0,0
494,不灭的生命,1,0,0,21408,21409,21407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,坚定的力量,1,0,0,21394,21392,21393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,征服者,1,0,0,21331,21329,21333,21332,0,21330,0,0,0,0,0,0,0,0,0,0,0
497,死亡执行者的拥抱,1,0,0,0,21359,21360,21361,21362,21364,0,0,0,0,0,0,0,0,0,0,0
498,笼罩之阴影,1,0,0,21405,21406,21404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,厄运召唤者,1,0,0,21337,21338,21335,21334,21336,0,0,0,0,0,0,0,0,0,0,0,0
500,禁断的邪语,1,0,0,21416,21417,21418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,风暴召唤者,1,0,0,21372,21373,21374,21375,21376,0,0,0,0,0,0,0,0,0,0,0,0
502,聚集的风暴,1,0,0,21400,21398,21399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,神秘套装,1,0,0,21344,21347,21346,21343,21345,0,0,0,0,0,0,0,0,0,0,0,0
504,魔法的秘密,1,0,0,21414,21413,21415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,复仇者,1,0,0,21389,21387,21388,21390,21391,0,0,0,0,0,0,0,0,0,0,0,0
506,永恒的公正,1,0,0,21397,21395,21396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,神谕者,1,0,0,21349,21350,21348,21352,21351,0,0,0,0,0,0,0,0,0,0,0,0
508,无尽的智慧,1,0,0,21410,21411,21412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,攻击者,1,0,0,21366,21365,21370,21368,21367,0,0,0,0,0,0,0,0,0,0,0,0
510,隐秘的通途,1,0,0,21403,21401,21402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,英勇,0,0,0,21994,21995,21996,21997,21998,21999,22000,22001,0,0,0,0,0,0,0,0,0
512,暗幕,0,0,0,22002,22003,22004,22005,22006,22007,22008,22009,0,0,0,0,0,0,0,0,0
513,狂野之心,0,0,0,22106,22107,22108,22109,22110,22111,22112,22113,0,0,0,0,0,0,0,0,0
514,坚贞,0,0,0,22078,22079,22080,22081,22082,22083,22084,22085,0,0,0,0,0,0,0,0,0
515,兽王,0,0,0,22010,22011,22061,22013,22015,22016,22017,22060,0,0,0,0,0,0,0,0,0
516,魂铸,0,0,0,22086,22087,22088,22089,22090,22091,22092,22093,0,0,0,0,0,0,0,0,0
517,巫师,0,0,0,22062,22063,22064,22065,22066,22067,22068,22069,0,0,0,0,0,0,0,0,0
518,死雾,0,0,0,22070,22071,22072,22073,22074,22075,22076,22077,0,0,0,0,0,0,0,0,0
519,五雷,0,0,0,22095,22096,22097,22098,22099,22100,22101,22102,0,0,0,0,0,0,0,0,0
520,铁纹作战套装,0,0,0,22306,22311,22313,22302,22304,22305,22303,22301,0,0,0,0,0,0,0,0,0
521,梦游者,1,0,0,22492,22494,22493,22490,22489,22491,22488,22495,23064,0,0,0,0,0,0,0,0
522,勇士的套装,1,0,0,22864,22856,22879,22880,23257,23258,0,0,0,0,0,0,0,0,0,0,0
523,无畏,1,0,0,22423,22416,22421,22422,22418,22417,22419,22420,0,23059,0,0,0,0,0,0,0
524,骨镰,1,0,0,22483,22476,22481,22478,22477,22479,22480,22482,23060,0,0,0,0,0,0,0,0
525,信仰,1,0,0,22518,22519,22514,22517,22513,22512,22516,22515,23061,0,0,0,0,0,0,0,0
526,霜火,1,0,0,22502,22503,22498,22501,22497,22496,22500,22499,23062,0,0,0,0,0,0,0,0
527,碎地者,1,0,0,22468,22470,22469,22466,22465,22467,22464,22471,23065,0,0,0,0,0,0,0,0
528,救赎,1,0,0,22430,22431,22426,22428,22427,22429,22425,22424,23066,0,0,0,0,0,0,0,0
529,瘟疫之心,1,0,0,22510,22511,22506,22509,22505,22504,22508,22507,23063,0,0,0,0,0,0,0,0
530,地穴追猎者,1,0,0,22440,22442,22441,22438,22437,22439,22436,22443,23067,0,0,0,0,0,0,0,0
533,亡灵毁灭者,0,0,0,23090,23087,23078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,亡灵屠戮者的护甲,0,0,0,23081,23089,23093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,亡灵屠戮者的装备,0,0,0,23088,23082,23092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,亡灵净化者,0,0,0,23091,23084,23085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,勇士的战铠,1,0,0,22868,22858,22872,22873,23244,23243,0,0,0,0,0,0,0,0,0,0,0
538,勇士的风暴,1,0,0,22857,22867,22876,22887,23259,23260,0,0,0,0,0,0,0,0,0,0,0
539,勇士的庇护,1,0,0,22863,22852,22877,22878,23253,23254,0,0,0,0,0,0,0,0,0,0,0
540,勇士的授权,1,0,0,22869,22859,22882,22885,23261,23262,0,0,0,0,0,0,0,0,0,0,0
541,勇士的鬼纹,1,0,0,22865,22855,23255,23256,22881,22884,0,0,0,0,0,0,0,0,0,0,0
542,勇士的秘密,1,0,0,22870,22860,23263,23264,22883,22886,0,0,0,0,0,0,0,0,0,0,0
543,勇士的职责,1,0,0,22843,22862,23251,23252,22874,22875,0,0,0,0,0,0,0,0,0,0,0
544,少校的壁垒,1,0,0,23272,23273,23274,23275,23276,23277,0,0,0,0,0,0,0,0,0,0,0
545,少校的战铠,1,0,0,23300,23301,23286,23287,23314,23315,0,0,0,0,0,0,0,0,0,0,0
546,少校的秘密,1,0,0,23304,23305,23290,23291,23318,23319,0,0,0,0,0,0,0,0,0,0,0
547,少校的鬼纹,1,0,0,23296,23297,23282,23283,23310,23311,0,0,0,0,0,0,0,0,0,0,0
548,少校的护卫,1,0,0,23298,23299,23284,23285,23312,23313,0,0,0,0,0,0,0,0,0,0,0
549,少校的授权,1,0,0,23302,23303,23288,23289,23316,23317,0,0,0,0,0,0,0,0,0,0,0
550,少校的职责,1,0,0,23292,23293,23278,23279,23306,23307,0,0,0,0,0,0,0,0,0,0,0
551,少校的庇护,1,0,0,23294,23295,23280,23281,23308,23309,0,0,0,0,0,0,0,0,0,0,0
552,魔焰之怒,0,0,0,21848,21847,21846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,暗影之拥,0,0,0,21871,21869,21870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,原始月布,0,0,0,21875,21874,21873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,灵纹套装,0,0,0,21855,21854,21852,21851,21849,21853,21850,0,0,0,0,0,0,0,0,0,0
556,魔化灵纹套装,0,0,0,21862,21861,21859,21860,0,0,0,0,0,0,0,0,0,0,0,0,0
557,灵魂布之拥,0,0,0,21865,21864,21863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,奥法交织套装,0,0,0,21868,21866,21867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,法术打击,0,2539,50,24266,24262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,魔铁板甲,0,0,0,23489,23488,23487,23482,23484,0,0,0,0,0,0,0,0,0,0,0,0
561,魔铁链甲,0,0,0,23490,23491,23493,23494,0,0,0,0,0,0,0,0,0,0,0,0,0
562,精金战甲,0,0,0,23507,23508,23506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,魔化精金套装,0,0,0,23509,23512,23511,23510,0,0,0,0,0,0,0,0,0,0,0,0,0
564,烈焰卫士,0,0,0,23513,23516,23514,23515,0,0,0,0,0,0,0,0,0,0,0,0,0
565,氪金套装,0,2476,50,23523,23525,23524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,钢铁之怒,0,164,350,23522,23521,23520,33173,0,0,0,0,0,0,0,0,0,0,0,0,0
567,角斗士的战甲,1,0,0,24544,24549,24545,24547,24546,0,0,0,0,0,0,0,0,0,0,0,0
568,角斗士的鬼纹,1,0,0,24556,24553,24555,24554,24552,0,0,0,0,0,0,0,0,0,0,0,0
569,魔钢的信仰,0,164,350,23519,23518,23517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,不屈的力量,0,0,0,24255,24249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,白色治愈,1,2539,50,24264,24261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,战斗施法套装,0,2539,50,24267,24263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,魔能之肤,0,2531,50,25685,25686,25687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,裂蹄之力,0,2531,50,25691,25690,25689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,魔能猎手,0,2531,50,25695,25697,25696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,虚空之怒,0,165,350,25694,25693,25692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,角斗士的套装,1,0,0,25834,25833,25830,25832,25831,0,0,0,0,0,0,0,0,0,0,0,0
578,角斗士的震撼,1,0,0,25997,26000,25998,26001,25999,0,0,0,0,0,0,0,0,0,0,0,0
579,角斗士的法衣,1,0,0,25854,25855,25857,25856,25858,0,0,0,0,0,0,0,0,0,0,0,0
580,角斗士的雷霆之拳,1,0,0,27469,27470,27471,27472,27473,0,0,0,0,0,0,0,0,0,0,0,0
581,角斗士的神服,1,0,0,27707,27708,27709,27710,27711,0,0,0,0,0,0,0,0,0,0,0,0
582,角斗士的保护,1,0,0,27702,27703,27704,27705,27706,0,0,0,0,0,0,0,0,0,0,0,0
583,角斗士的辩护,1,0,0,27879,27880,27881,27882,27883,0,0,0,0,0,0,0,0,0,0,0,0
584,角斗士的圣装,1,0,0,28126,28127,28128,28129,28130,0,0,0,0,0,0,0,0,0,0,0,0
585,角斗士的野性之皮,1,0,0,28136,28137,28138,28139,28140,0,0,0,0,0,0,0,0,0,0,0,0
586,角斗士的猎装,1,0,0,28334,28335,28331,28332,28333,0,0,0,0,0,0,0,0,0,0,0,0
587,高阶督军的保护,1,0,0,28831,28832,28833,28834,28835,0,0,0,0,0,0,0,0,0,0,0,0
588,高阶督军的战甲,1,0,0,28851,28852,28853,28854,28855,0,0,0,0,0,0,0,0,0,0,0,0
589,大元帅的保护,1,0,0,28679,28680,28681,28724,28683,0,0,0,0,0,0,0,0,0,0,0,0
590,大元帅的战甲,1,0,0,28699,28700,28701,28702,28703,0,0,0,0,0,0,0,0,0,0,0,0
591,大元帅的鬼纹,1,0,0,28624,28625,28626,28627,28628,0,0,0,0,0,0,0,0,0,0,0,0
592,高阶督军的鬼纹,1,0,0,28817,28818,28819,28820,28821,0,0,0,0,0,0,0,0,0,0,0,0
593,大元帅的震撼,1,0,0,28689,28690,28691,28692,28693,0,0,0,0,0,0,0,0,0,0,0,0
594,高阶督军的震撼,1,0,0,28841,28842,28843,28844,28845,0,0,0,0,0,0,0,0,0,0,0,0
595,大元帅的猎装,1,0,0,28613,28614,28615,28616,28617,0,0,0,0,0,0,0,0,0,0,0,0
596,高阶督军的猎装,1,0,0,28805,28806,28807,28808,28809,0,0,0,0,0,0,0,0,0,0,0,0
597,大元帅的神服,1,0,0,28704,28705,28706,28707,28708,0,0,0,0,0,0,0,0,0,0,0,0
598,高阶督军的神服,1,0,0,28856,28857,28858,28859,28860,0,0,0,0,0,0,0,0,0,0,0,0
599,大元帅的法衣,1,0,0,28714,28715,28716,28717,28718,0,0,0,0,0,0,0,0,0,0,0,0
600,高阶督军的法衣,1,0,0,28866,28867,28868,28869,28870,0,0,0,0,0,0,0,0,0,0,0,0
601,大元帅的圣装,1,0,0,28618,28619,28620,28622,28623,0,0,0,0,0,0,0,0,0,0,0,0
602,高阶督军的圣装,1,0,0,28811,28812,28813,28814,28815,0,0,0,0,0,0,0,0,0,0,0,0
603,大元帅的雷霆之拳,1,0,0,28694,28695,28696,28697,28698,0,0,0,0,0,0,0,0,0,0,0,0
604,高阶督军的雷霆之拳,1,0,0,28846,28847,28848,28849,28850,0,0,0,0,0,0,0,0,0,0,0,0
605,大元帅的制服,1,0,0,28684,28685,28686,28687,28688,0,0,0,0,0,0,0,0,0,0,0,0
606,高阶督军的制服,1,0,0,28836,28837,28838,28839,28840,0,0,0,0,0,0,0,0,0,0,0,0
607,大元帅的辩护,1,0,0,28709,28710,28711,28712,28713,0,0,0,0,0,0,0,0,0,0,0,0
608,高阶督军的辩护,1,0,0,28861,28862,28863,28864,28865,0,0,0,0,0,0,0,0,0,0,0,0
609,大元帅的野性之皮,1,0,0,28719,28720,28721,28722,28723,0,0,0,0,0,0,0,0,0,0,0,0
610,高阶督军的野性之皮,1,0,0,28871,28872,28873,28874,28875,0,0,0,0,0,0,0,0,0,0,0,0
611,魔鳞套装,0,0,0,25657,25656,25655,25654,0,0,0,0,0,0,0,0,0,0,0,0,0
612,缀鳞德莱尼套装,0,0,0,25661,25659,25662,25660,0,0,0,0,0,0,0,0,0,0,0,0,0
613,厚重德莱尼套装,0,0,0,25668,25669,25670,25671,0,0,0,0,0,0,0,0,0,0,0,0,0
614,野性德莱尼套装,0,0,0,25673,25674,25675,25676,0,0,0,0,0,0,0,0,0,0,0,0,0
615,角斗士的魔能套装,1,0,0,30186,30187,30188,30200,30201,0,0,0,0,0,0,0,0,0,0,0,0
616,虚空之鳞,0,0,0,29516,29517,29515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,虚空打击,0,0,0,29521,29520,29519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,风鹰,0,0,0,29523,29524,29522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,原始打击,0,0,0,29527,29526,29525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,刺杀,1,0,0,27509,28414,27908,27776,28204,0,0,0,0,0,0,0,0,0,0,0,0
621,虚空刀锋,1,0,0,29046,29045,29044,29048,29047,0,0,0,0,0,0,0,0,0,0,0,0
622,死亡阴影,1,0,0,30144,30145,30146,30148,30149,0,0,0,0,0,0,0,0,0,0,0,0
623,正义,1,0,0,28203,27535,28285,27839,27739,0,0,0,0,0,0,0,0,0,0,0,0
624,公正圣装,1,0,0,29062,29061,29065,29063,29064,0,0,0,0,0,0,0,0,0,0,0,0
625,公正护甲,1,0,0,29066,29068,29067,29069,29070,0,0,0,0,0,0,0,0,0,0,0,0
626,公正战甲,1,0,0,29071,29073,29072,29074,29075,0,0,0,0,0,0,0,0,0,0,0,0
627,晶铸圣装,1,0,0,30134,30135,30136,30137,30138,0,0,0,0,0,0,0,0,0,0,0,0
628,晶铸护甲,1,0,0,30123,30125,30124,30126,30127,0,0,0,0,0,0,0,0,0,0,0,0
629,晶铸战甲,1,0,0,30129,30130,30132,30133,30131,0,0,0,0,0,0,0,0,0,0,0,0
